앱,모델 이름,필드 이름,필드 종류,필드 속성,특이사항
accounts,User,address,CharField,max_length=80,
accounts,User,sido,CharField,max_length=20,
accounts,User,sigungu,CharField,max_length=30,
accounts,User,roadname,CharField,max_length=20,
accounts,User,role,CharField,max_length=20,
accounts,User,profile,ProcessedImageField,"upload_to=""images/profile"",
blank=True,
processors=[Thumbnail(100, 100)],
format=""JPEG"",
options={""quality"": 95}",
accounts,User,following,ManyToManyField,"“self”,
symmetrical=False, related_name=""followers”",
cafes,Article,user,ForeignKey,"settings.AUTH_USER_MODEL,
on_delete=models.CASCADE",
cafes,Article,name,CharField,max_length=80,
cafes,Article,address,CharField,max_length=80,
cafes,Article,sido,CharField,max_length=20,
cafes,Article,sigungu,CharField,max_length=30,
cafes,Article,roadname,CharField,max_length=20,
cafes,Article,number,CharField,max_length=20,
cafes,Article,opening_hour,CharField,max_length=40,
cafes,Article,category,-,"(""분위기가 좋은"", ""분위기가 좋은""),
(""디저트가 맛있는"", ""디저트가 맛있는""),
(""커피가 맛있는"", ""커피가 맛있는""),
(""작업하기 좋은"", ""작업하기 좋은""),
(""커피가 저렴한"", ""커피가 저렴한""),
(""이색적인"", ""이색적인""),",
cafes,Article,cafeType,CharField,"max_length=20, choices=category, null=True",
cafes,Article,menu,FroalaField,"options={""toolbarSticky"": False,""heightMin"": 200}",
cafes,Article,parking,CharField,max_length=20,
cafes,Article,dayoff,CharField,max_length=20,
cafes,Article,image,ProcessedImageField,"upload_to=""images/cafe"",       
blank=False,
processors=[ResizeToFill(1200, 960)],
format=""JPEG"",
options={""quality"": 95}",
cafes,Article,thumbnail,ImageSpecField,"source=""image"",
processors=[ResizeToFill(120, 120)],
format=""JPEG"",",
cafes,Article,created_time,DateTimeField,auto_now_add=True,
cafes,Article,updated_time,DateTimeField,auto_now=True,
cafes,Article,like_users,ManyToManyField,"settings.AUTH_USER_MODEL, 
related_name=""like_articles”",
cafes,Article,bookmark_users,ManyToManyField,"settings.AUTH_USER_MODEL,
related_name=""bookmark_articles”",
cafes,Article,is_updated,BooleanField,default=False,
cafes,Article,hits,PositiveBigIntegerField,"default=0, verbose_name=""조회수”",
cafes,Review,user,ForeignKey,"settings.AUTH_USER_MODEL,
on_delete=models.CASCADE",
cafes,Review,cafe,ForeignKey,"Article,
on_delete=models.CASCADE",
cafes,Review,title,CharField,max_length=80,
cafes,Review,content,FroalaField,"options={""toolbarSticky"": False,""heightMin"": 200}",
cafes,Review,rate,FloatField,"default=0.0,
validators=[MinValueValidator(0.5), MaxValueValidator(5.0)],",
cafes,Review,image,ProcessedImageField,"upload_to=""images/review"",       
blank=False,
processors=[ResizeToFill(1200, 960)],
format=""JPEG"",
options={""quality"": 95}",
cafes,Review,thumbnail,ImageSpecField,"source=""image"",
processors=[ResizeToFill(120, 120)],
format=""JPEG"",",
cafes,Review,created_time,DateTimeField,auto_now_add=True,
cafes,Review,updated_time,DateTimeField,auto_now=True,
cafes,Review,is_updated,BooleanField,default=False,
cafes,Review,like_users,ManyToManyField,"settings.AUTH_USER_MODEL, 
related_name=""like_reviews”",
cafes,Comment,user,ForeignKey,"settings.AUTH_USER_MODEL,
on_delete=models.CASCADE",
cafes,Comment,review,ForeignKey,"Review,
on_delete=models.CASCADE",
cafes,Comment,content,TextField,,
cafes,Comment,created_time,DateTimeField,auto_now_add=True,
cafes,Comment,updated_time,DateTimeField,auto_now=True,
cafes,Comment,is_updated,BooleanField,default=False,
cafes,Comment,like_users,ManyToManyField,"settings.AUTH_USER_MODEL,
related_name=""like_comments”",
cafes,Comment,parent,ForeignKey,"""self"", 
related_name=""child_set"",        on_delete=models.CASCADE,
null=True,
blank=True",
