우선 순위,앱,이름,메소드,요청 URL,상세 내용,참고사항
1,accounts,signup,GET,/accounts/signup/,회원 가입 폼 띄워주는 페이지,
1,,signup,POST,/accounts/signup/,회원 데이터 생성,
1,,login,GET,/accounts/login/,회원 로그인 폼 띄워주는 페이지,
1,,login,POST,/accounts/login/,회원 로그인,
1,,logout,GET,/accounts/logout/,회원 로그아웃,
2,,profile,GET,/accounts/<username>,회원 상세 정보,
2,,update,POST,/accounts/update/,회원 정보 수정한 데이터 생성,
2,,update,GET,/accounts/update/,회원 정보 수정 폼 띄워주는 페이지,
3,,password,GET,/accounts/password/,비밀번호 변경 폼 띄워주는 페이지,
3,,password,POST,/accounts/password/,비밀번호 변경 기능,
3,,delete,POST,/accounts/delete/,회원 탈퇴 기능,
4,,follow,POST,/accounts/<username>/follow/,팔로우 기능,
,,,,,,
,,,,,,
1,cafes,index,GET,/cafes/,메인 페이지,
1,,category,GET,/cafes/category/<article_category>/,테마 분류별 카페 목록 페이지,
1,,cafe_detail,GET,/cafes/<int:article_pk>/,카페 상세 정보 페이지,
1,,cafe_create,POST,/cafes/cafe_create/,카페 추가 데이터 생성,
1,,cafe_create,GET,/cafes/cafe_create/,카페 추가 폼 띄워주는 페이지,
2,,cafe_update,POST,/cafes/<int:article_pk>/cafe_update/,카페 수정 데이터 수정,
2,,cafe_update,GET,/cafes/<int:article_pk>/cafe_update/,카페 수정 폼 띄워주는 페이지,
2,,cafe_delete,POST,/cafes/<int:article_pk>/cafe_delete/,카페 삭제,
3,,cafe_like,POST,/cafes/<int:article_pk>/cafe_like/,카페 좋아요 기능,
3,,cafe_bookmark,POST,/cafes/<int:article_pk>/cafe_bookmark/,카페 북마크 기능,
4,,cafe_search,GET,/cafes/cafe_search/,카페 검색 기능,
,,,,,,
,,,,,,
1,cafes,review_create,POST,/cafes/<int:article_pk>/review_create/,리뷰 추가 데이터 생성,
1,,review_create,GET,/cafes/<int:article_pk>/review_create/,리뷰 추가 폼 띄워주는 페이지,
2,,review_update,POST,/cafes/<int:article_pk>/review_update/<int:review_pk>/,리뷰 수정 데이터 생성,
2,,review_update,GET,/cafes/<int:article_pk>/review_update/<int:review_pk>/,리뷰 추가 폼 띄워주는 페이지,
2,,review_delete,POST,/cafes/<int:article_pk>/review_delete/<int:review_pk>/,리뷰 삭제,
3,,review_like,POST,/cafes/<int:article_pk>/review_like/<int:review_pk>/,리뷰 좋아요 기능,
,,,,,,
,,,,,,
1,cafes,comment_create,POST,/cafes/<int:review_pk>/comment_create/,리뷰에 대한 댓글 데이터 생성,
1,,comment_create,GET,/cafes/<int:review_pk>/comment_create/,리뷰에 대한 댓글 작성 폼 띄우기,
2,,comment_update,POST,/cafes/<int:review_pk>/comment_update/<int:comment_pk>/,리뷰에 대한 댓글 데이터 수정,
2,,comment_update,GET,/cafes/<int:review_pk>/comment_update/<int:comment_pk>/,리뷰에 대한 댓글 수정 폼 띄우기,
3,,comment_delete,POST,/cafes/<int:review_pk>/comment_delete/<int:comment_pk>/,리뷰에 대한 댓글 삭제,
4,,commnet_like,POST,/cafes/<int:review_pk>/comment_like/<int:comment_pk>/,리뷰에 달린 댓글 좋아요 기능,
5,,reply_create,POST,/cafes/<int:review_pk>/reply_create/<int:comment_pk>/,댓글에 대한 대댓글 작성,
5,,reply_create,GET,/cafes/<int:review_pk>/reply_create/<int:comment_pk>/,댓글에 대한 대댓글 작성 폼 띄우기,
,,,,,,
