앱,모델 이름,필드 이름,필드 종류,필드 속성,특이사항
products,Product,user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
products,Product,title,CharField,max_length=80,
products,Product,price,BigIntegerField,,
products,Product,productType,CharField,"max_length=20, choices=product_category, null=True","product_category = (
(""사용감 있음"", ""사용감 있음""),
(""거의 새 것"", ""거의 새 것""),
(""미개봉"", ""미개봉""),
)"
products,Product,tradeType,MultiSelectField,"max_length=10, choices=trade_category, min_choices=1, max_choices=2","trade_category = (
(""직거래"", ""직거래""),
(""택배거래"", ""택배거래""),
)"
products,Product,location,CharField,"max_length=80, blank=True",
products,Product,image,ProcessedImageField,"upload_to=""images/product"",
blank=False,
processors=[ResizeToFill(1200, 1200)],
format=""JPEG"",
options={""quality"": 95},
default=""default.jpg"",",
products,Product,thumbnail,ImageSpecField,"source=""image"",
processors=[Thumbnail(200, 200)],
format=""JPEG"",",
products,Product,content,TextField,,
products,Product,contentStripTag,TextField,,
products,Product,created_at,DateTimeField,auto_now_add=True,
products,Product,updated_at,DateTimeField,auto_now=True,
products,Product,is_updated,BooleanField,default=False,
products,Product,like_users,ManyToManyField,"settings.AUTH_USER_MODEL, related_name=""like_product”",
products,Product,hits,PositiveBigIntegerField,"default=0, verbose_name=""조회수”",
products,Product_Comment,user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
products,Product_Comment,product,ForeignKey,"Product, on_delete=models.CASCADE",
products,Product_Comment,content,CharField,max_length=80,
products,Product_Comment,created_at,DateTimeField,auto_now_add=True,
products,Product_Comment,updated_at,DateTimeField,auto_now=True,
products,Product_Comment,parent,ForeignKey,"""self"",
related_name=""reply_set"",
on_delete=models.CASCADE,
null=True,
blank=True,",
products,Product_Comment,like_users,ManyToManyField,"settings.AUTH_USER_MODEL, related_name=""like_product_comment”",
notes,Received_Note,sent_username,CharField,max_length=30,
notes,Received_Note,received_username,CharField,max_length=30,
notes,Received_Note,received_user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
notes,Received_Note,title,CharField,max_length=30,
notes,Received_Note,content,TextField,,
notes,Received_Note,is_important,BooleanField,default=False,
notes,Received_Note,is_trash,BooleanField,default=False,
notes,Received_Note,sent_at,DateTimeField,auto_now_add=True,
notes,Received_Note,received_at,DateTimeField,"null=True, blank=True",
notes,Sent_Note,sent_username,CharField,max_length=30,
notes,Sent_Note,received_username,CharField,max_length=30,
notes,Sent_Note,sent_user,ForeignKey,"settings.AUTH_USER_MODEL, on_delete=models.CASCADE",
notes,Sent_Note,title,CharField,max_length=30,
notes,Sent_Note,content,TextField,,
notes,Sent_Note,sent_at,DateTimeField,auto_now_add=True,
notes,Sent_Note,received_at,DateTimeField,"null=True, blank=True",
notes,Sent_Note,received_note,OneToOneField,"Received_Note, on_delete=models.SET_NULL, null=True",
,,,,,
accounts,User,address,CharField,max_length=50,
accounts,User,address_detail,CharField,"max_length=40, null=True, blank=True",
accounts,User,birth,DateTimeField,default=timezone.now,
accounts,User,nickname,CharField,"null=True, unique=True, max_length=20",
accounts,User,kakao_id,CharField,"null=True, unique=True, max_length=100",
accounts,User,followings,ManyToManyField,"""self"", symmetrical=False, related_name=""followers”",
accounts,User,blocking,ManyToManyField,"""self"", symmetrical=False, related_name=""blockers”",
accounts,User,image,ProcessedImageField,"upload_to=""image/"",
format=""JPEG"",
processors = [
Transpose(),
],
options={""quality"": 30},
blank=True,
null=True,",
accounts,User,gender,CharField,"max_length=2,
choices=GENDER_CHOICES,",
accounts,User,sports,MultiSelectField,"max_length=100,
choices=STORTS_CHOICES,
blank=True,","STORTS_CHOICES = (
(""축구"", ""축구""),
(""농구"", ""농구""),
(""야구"", ""야구""),
(""클라이밍"", ""클라이밍""),
(""등산"", ""등산""),
(""테니스"", ""테니스""),
(""트래킹"", ""트래킹""),
(""볼링"", ""볼링""),
(""러닝"", ""러닝""),
(""스키"", ""스키""),
(""보드"", ""보드""),
(""헬스"", ""헬스""),
(""산책"", ""산책""),
(""플로깅"", ""플로깅""),
(""자전거"", ""자전거""),
(""서핑"", ""서핑""),
(""배드민턴"", ""배드민턴""),
(""탁구"", ""탁구""),
(""골프"", ""골프""),
(""스포츠경기"", ""스포츠경기""),
)"
