우선 순위,앱,이름,메소드,요청 URL,상세 내용,참고사항
1,accounts,회원가입 화면,GET,/accounts/signup/,,
1,accounts,회원가입,POST,/accounts/signup/,,
1,accounts,로그인 화면,GET,/accounts/login/,,
1,accounts,로그인,POST,/accounts/login/,,
1,accounts,로그아웃,GET,/accounts/logout/,,
1,accounts,회원 정보 화면,GET,/accounts/detail/<int:pk>/,,
2,accounts,회원 정보 수정 화면,GET,/accounts/update/<int:pk>/,,
2,accounts,회원 정보 수정,POST,/accounts/update/<int:pk>/,,
3,accounts,회원 팔로우,POST,/accounts/<int:pk>/follow/,,
1,accounts,회원 탈퇴,POST,/accounts/delete/,,
3,accounts,비밀번호 변경 화면,GET,/accounts/password_change/<int:pk>/,,
3,accounts,비밀번호 변경,POST,/accounts/password_change/<int:pk>/,,
2,accounts,아이디 중복 체크,GET,/accounts/id_check/,,
2,accounts,닉네임 중복 체크,GET,/accounts/nickname_check/,,
2,accounts,소셜 로그인 화면,GET,/accounts/social_signup/<int:pk>/,,
2,accounts,소셜 로그인,POST,/accounts/social_signup/<int:pk>/,,
2,accounts,카카오 로그인,POST,/accounts/login/kakao/,,
2,accounts,카카오 로그인 콜백,POST,/accounts/login/kakao/callback/,,
5,accounts,회원 차단,GET,/accounts/<int:pk>/block/,,
1,community,피드 메인 페이지,GET,/community/,,
1,community,피드 생성 화면,GET,/community/create/,,
1,community,피드 생성,POST,/community/create/,,
1,community,피드 상세 페이지,GET,/community/<int:community_pk>/detail/,,
1,community,피드 수정 화면,GET,/community/<int:community_pk>/update/,,
1,community,피드 수정,POST,/community/<int:community_pk>/update/,,
1,community,피드 삭제,POST,/community/<int:community_pk>/delete/,,
2,community,피드 댓글 생성,POST,/community/<int:community_pk>/comments/,,
2,community,피드 댓글 수정,POST,/community/<int:community_pk>/comments/<int:comment_pk>/update/,,
2,community,피드 댓글 삭제,POST,/community/<int:community_pk>/comments/<int:comment_pk>/delete/,,
3,community,피드 댓글 대댓글 생성,POST,/community/<int:community_pk>/recomments/<int:comment_pk>/,,
3,community,피드 댓글 대댓글 수정,POST,/community/<int:community_pk>/recomments/<int:comment_pk>/<int:recomment_pk>/update/,,
3,community,피드 댓글 대댓글 삭제,POST,/community/<int:community_pk>/recomments/<int:recomment_pk>/delete/,,
2,community,피드 좋아요,POST,/community/<int:community_pk>/like/,,
4,community,피드 댓글 좋아요,POST,/community/<int:community_pk>/comment_like/,,
1,hobby,소셜링 생성 화면,GET,/hobby/create/,,
1,hobby,소셜링 생성,POST,/hobby/create/,,
1,hobby,카테고리별 태그 저장,GET,/hobby/save/,,
1,hobby,소셜링 상세 보기,GET,/hobby/<int:hobby_pk>/,,
1,hobby,소셜링 수정 화면,GET,/hobby/<int:hobby_pk>/update/,,
1,hobby,소셜링 수정,POST,/hobby/<int:hobby_pk>/update/,,
1,hobby,소셜링 삭제,POST,/hobby/<int:hobby_pk>/delete_hobby/,,
2,hobby,소셜링 참여 신청,POST,/hobby/<int:hobby_pk>/call/,,
2,hobby,소셜링 참여 승인,POST,/hobby/<int:hobby_pk>/<int:user_pk>/approve/,,
2,hobby,소셜링 참여 거절,POST,/hobby/<int:hobby_pk>/<int:user_pk>/reject/,,
3,hobby,소셜링 댓글 생성,POST,/hobby/<int:hobby_pk>/comment_create,,
4,hobby,소셜링 카테고리별 메인,POST,/hobby/index/<str:category_name>/,,
4,hobby,소셜링 태그별 메인,POST,/hobby/index/tag/<str:tag_name>/,,
2,hobby,소셜링 좋아요,POST,/hobby/<int:hobby_pk>/like_hobby/,,
3,hobby,소셜링 댓글 좋아요,POST,/hobby/<int:comment_pk>/like_comment/,,
3,hobby,소셜링 댓글 삭제,POST,/hobby/<int:comment_pk>/comment_delete/,,
1,notes,쪽지 메인,GET,/notes/,,
1,notes,받은 쪽지함,GET,/notes/received_box/,,
1,notes,보낸 쪽지함,GET,/notes/sent_box/,,
1,notes,중요 쪽지함,GET,/notes/important_box/,,
1,notes,휴지통,GET,/notes/trash_box/,,
1,notes,쪽지 보내기 화면,GET,/notes/send/,,
1,notes,쪽지 보내기,POST,/notes/send/,,
3,notes,받은 쪽지 상세 화면,GET,/notes/received_note/<int:received_note_pk>/,,
3,notes,보낸 쪽지 상세 화면,GET,/notes/sent_note/<int:sent_note_pk>/,,
2,notes,중요 쪽지함으로 이동,POST,/notes/received_note/<int:received_note_pk>/important/,,
2,notes,휴지통으로 이동,POST,/notes/received_note/<int:received_note_pk>/trash/,,
2,notes,받은 쪽지 삭제,POST,/notes/received_note/<int:received_note_pk>/delete/,,
2,notes,보낸 쪽지 삭제,POST,/notes/sent_note/<int:sent_note_pk>/delete/,,
1,products,중고거래 메인,GET,/products/,,
2,products,중고거래 물품 검색,POST,/products/search/,,
1,products,중고거래 작성 화면,GET,/products/product_create/,,
1,products,중고거래 작성,POST,/products/product_create/,,
2,products,중고거래 상세 화면,POST,/products/<int:product_pk>/,,
1,products,중고거래 수정 화면,GET,/products/<int:product_pk>/product_update/,,
1,products,중고거래 수정,POST,/products/<int:product_pk>/product_update/,,
1,products,중고거래 삭제,POST,/products/<int:product_pk>/product_delete/,,
3,products,중고거래 좋아요,POST,/products/<int:product_pk>/product_like/,,
2,products,중고거래 댓글 생성,POST,/products/<int:product_pk>/comment_create/,,
2,products,중고거래 댓글 수정,POST,/products/<int:product_pk>/comment_update/<int:comment_pk>/,,
2,products,중고거래 댓글 삭제,POST,/products/<int:product_pk>/comment_delete/<int:comment_pk>/,,
4,products,중고거래 댓글 좋아요,POST,/products/<int:product_pk>/comment_like/<int:comment_pk>/,,
4,products,중고거래 댓글 대댓글 생성,POST,/products/<int:product_pk>/reply_create/<int:comment_pk>/,,
